"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 13:51:59 UTC 2024","Mon Feb 12 13:52:05 UTC 2024","6476","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the top on the Full News page for https://top-ru.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:47:47 UTC 2024","Mon Feb 12 13:47:55 UTC 2024","8513","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Title of preview for https://24newsrf.com",""
"passed","Mon Feb 12 13:51:51 UTC 2024","Mon Feb 12 13:51:54 UTC 2024","2642","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the top on the Full News page for https://rosnews.biz/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:20 UTC 2024","Mon Feb 12 13:51:28 UTC 2024","8133","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the top on the Full News page for https://24l7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:35 UTC 2024","Mon Feb 12 13:51:41 UTC 2024","6485","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the footer on the Full News page for https://i24-7-news.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:50:22 UTC 2024","Mon Feb 12 13:50:28 UTC 2024","6545","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the middle on the Full News page for https://rusweek.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:53 UTC 2024","Mon Feb 12 13:51:59 UTC 2024","5294","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the middle on the Full News page for https://rosnews.biz/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:34 UTC 2024","Mon Feb 12 13:49:40 UTC 2024","6264","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Picture of preview for https://rosnews.biz",""
"passed","Mon Feb 12 13:48:32 UTC 2024","Mon Feb 12 13:48:41 UTC 2024","8607","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://news-press24.com",""
"passed","Mon Feb 12 13:49:59 UTC 2024","Mon Feb 12 13:50:05 UTC 2024","6110","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the footer on the Full News page for https://news-press24.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:49:57 UTC 2024","Mon Feb 12 13:50:00 UTC 2024","3352","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://news-press24.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:48:49 UTC 2024","Mon Feb 12 13:48:59 UTC 2024","9561","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Title of preview for https://24l7-news.com",""
"passed","Mon Feb 12 13:51:09 UTC 2024","Mon Feb 12 13:51:19 UTC 2024","9549","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the footer of preview page for https://rusweek.news",""
"passed","Mon Feb 12 13:50:21 UTC 2024","Mon Feb 12 13:50:28 UTC 2024","6998","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://rusweek.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:48:20 UTC 2024","Mon Feb 12 13:48:29 UTC 2024","8817","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Title of preview for https://top-ru.news",""
"passed","Mon Feb 12 13:50:35 UTC 2024","Mon Feb 12 13:50:43 UTC 2024","8564","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the side of preview page for https://rus-news.biz",""
"passed","Mon Feb 12 13:51:01 UTC 2024","Mon Feb 12 13:51:09 UTC 2024","8311","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the side of preview page for https://rosnews.biz",""
"passed","Mon Feb 12 13:52:06 UTC 2024","Mon Feb 12 13:52:12 UTC 2024","6751","chromium-mobile-scheduled","newsPreviewAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the the site on the preview page for https://news-press24.com",""
"passed","Mon Feb 12 13:47:12 UTC 2024","Mon Feb 12 13:47:21 UTC 2024","8750","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Picture of preview for https://rus-news.biz",""
"passed","Mon Feb 12 13:50:21 UTC 2024","Mon Feb 12 13:50:27 UTC 2024","6294","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the footer on the Full News page for https://rosnews.biz/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:48:31 UTC 2024","Mon Feb 12 13:48:40 UTC 2024","8933","chromium-mobile-ci","indexPage.ci.mobile.spec.ts","","","","Opening another page when you click on the logo for https://24l7-news.com",""
"passed","Mon Feb 12 13:50:52 UTC 2024","Mon Feb 12 13:51:01 UTC 2024","8831","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the footer of preview page for https://24newsrf.com",""
"passed","Mon Feb 12 13:49:41 UTC 2024","Mon Feb 12 13:49:47 UTC 2024","6485","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Button of preview for https://rusweek.news",""
